id;question;answer;timestamp;answeredCorrectly;timesAsked;
1;"Jakie są najnowsze trendy w modzie?";"W tym sezonie modne są przede wszystkim pastelowe kolory oraz oversize. Warto też postawić na ubrania z bawełny organicznej.";2022-01-15T13:30:00;true;7
2;"Czy warto inwestować w kryptowaluty?";"Inwestowanie w kryptowaluty wiąże się z pewnym ryzykiem, ale jeśli ma się odpowiednią wiedzę na temat rynku, to może przynieść wysokie zyski.";2022-02-02T09:15:00;true;2
3;"Jakie są najlepsze knajpy we Wrocławiu?";"Wśród najlepszych knajp we Wrocławiu można wymienić Międzymiastowską, Polkę na talerzu oraz Pasibus.";2022-03-20T18:45:00;true;4
4;"Jakie są najlepsze miejsca turystyczne w Polsce?";"W Polsce warto odwiedzić między innymi Kraków, Wrocław, Zakopane, Gdańsk i Warszawę.";2022-04-05T11:20:00;true;6
5;"Jakie są najlepsze kosmetyki do pielęgnacji twarzy?";"Wśród najlepszych kosmetyków do pielęgnacji twarzy można wymienić serum z witaminą C, krem nawilżający z kwasem hialuronowym oraz tonik z kwasem salicylowym.";2022-05-12T15:10:00;true;23
6;"Jakie są najlepsze sposoby na pozbycie się stresu?";"Do skutecznych sposobów na pozbycie się stresu należą: medytacja, joga, aktywność fizyczna, czytanie książek, słuchanie muzyki relaksacyjnej.";2022-06-01T12:00:00;true;52
7;"Jakie są najlepsze aplikacje do nauki języków obcych?";"Wśród najlepszych aplikacji do nauki języków obcych można wymienić Duolingo, Babbel oraz Rosetta Stone.";2022-07-10T14:30:00;true;12
8;"Jakie są najlepsze sposoby na oszczędzanie pieniędzy?";"Do skutecznych sposobów na oszczędzanie pieniędzy należą: prowadzenie budżetu domowego, unikanie zakupów na impuls, ograniczenie wydatków na luksusowe artykuły.";2022-08-20T09:00:00;true;39
9;"Jakie są najlepsze sposoby na poprawę skupienia i koncentracji?";"Do skutecznych sposobów na poprawę skupienia i koncentracji należą: medytacja, regularne wykonywanie ćwiczeń umysłowych, unikanie rozpraszaczy, jak np. telewizja czy media społecznościowe.";2022-09-05T11:30:00;true;10
10;"Jakie są najlepsze sposoby na redukcję cellulitu?";"Do skutecznych sposobów na redukcję cellulitu należą: ćwiczenia fizyczne, zdrowa dieta, masaż, stosowanie kosmetyków z kofeiną.";2022-10-15T16:45:00;true;22
11;"Jakie są najlepsze sposoby na poprawę jakości snu?";"Do skutecznych sposobów na poprawę jakości snu należą: regularne chodzenie spać o stałej porze, utrzymanie odpowiedniej temperatury w sypialni, unikanie ekranów elektronicznych przed snem, stosowanie technik relaksacyjnych.";2022-11-10T22:15:00;true;5
12;"Jakie są najlepsze sposoby na walkę z depresją?";"Do skutecznych sposobów na walkę z depresją należą: terapia psychologiczna, aktywność fizyczna, zdrowa dieta, regularny sen, unikanie alkoholu i narkotyków.";2022-12-05T10:00:00;true;581
13;"Jakie są najlepsze sposoby na poprawę relacji międzyludzkich?";"Do skutecznych sposobów na poprawę relacji międzyludzkich należą: słuchanie drugiej osoby, wyrażanie swoich emocji w sposób konstruktywny, unikanie krytykowania i osądzania drugiej osoby, wyrażanie wdzięczności i docenianie drugiej osoby.";2023-01-02T14:30:00;true;7
14;"Jakie są najlepsze sposoby na rozwijanie swoich zdolności artystycznych?";"Do skutecznych sposobów na rozwijanie swoich zdolności artystycznych należą: regularna praktyka, nauka od bardziej doświadczonych artystów, eksperymentowanie z różnymi stylami i technikami.";2023-02-20T17:00:00;true;7
15;"Jakie są najlepsze sposoby na poprawę kondycji fizycznej?";"Do skutecznych sposobów na poprawę kondycji fizycznej należą: regularna aktywność fizyczna, zdrowa dieta, odpowiedni sen, unikanie używek, takich jak alkohol czy papierosy.";2023-03-15T08:45:00;true;7
16;"Czy warto uczyć się programowania w 2023 roku?";"Tak, warto uczyć się programowania w 2023 roku, ponieważ jest to bardzo potrzebna umiejętność na rynku pracy. Programowanie umożliwia rozwijanie nowych technologii, tworzenie oprogramowania, a także zapewnia dobre wynagrodzenie.";2023-09-10T14:30:00;true;7
17;"Jakie są najlepsze sposoby na rozwiązanie konfliktu z inną osobą?";"Do skutecznych sposobów na rozwiązanie konfliktu z inną osobą należą: rozmowa, wyrażanie swoich emocji w sposób konstruktywny, szukanie kompromisu, akceptacja innych punktów widzenia.";2023-05-03T16:20:00;true;7
18;"Jakie są najlepsze sposoby na radzenie sobie ze stresem?";"Do skutecznych sposobów na radzenie sobie ze stresem należą: regularna aktywność fizyczna, medytacja, techniki relaksacyjne, odpowiednia dieta, unikanie używek.";2023-06-10T09:15:00;true;7
19;"Jakie są najlepsze sposoby na radzenie sobie z trudnymi emocjami?";"Do skutecznych sposobów na radzenie sobie z trudnymi emocjami należą: wyrażanie swoich emocji w sposób konstruktywny, szukanie wsparcia u bliskich osób lub specjalisty, stosowanie technik relaksacyjnych, aktywność fizyczna.";2023-07-15T13:00:00;true;7
20;"Jakie są najlepsze sposoby na poprawę koncentracji i efektywności w pracy?";"Do skutecznych sposobów na poprawę koncentracji i efektywności w pracy należą: wyznaczanie sobie celów, organizacja czasu pracy, przerwy w ciągu dnia, wykonywanie jednego zadania naraz, unikanie rozpraszaczy.";2023-08-20T10:30:00;true;7
